2025-06-28 13:17:47.384 | INFO     | __main__:<module>:126 - Epoch = 22 / 60
2025-06-28 13:21:41.197 | INFO     | __main__:<module>:169 - Training time taken = 233.81 seconds, Evaluation time taken = nan seconds, loss = 0.03909, fid = None
2025-06-28 13:21:41.197 | INFO     | __main__:<module>:126 - Epoch = 23 / 60
2025-06-28 13:25:34.488 | INFO     | __main__:<module>:169 - Training time taken = 233.29 seconds, Evaluation time taken = nan seconds, loss = 0.03858, fid = None
2025-06-28 13:25:34.489 | INFO     | __main__:<module>:126 - Epoch = 24 / 60
2025-06-28 13:29:27.404 | INFO     | __main__:<module>:169 - Training time taken = 232.92 seconds, Evaluation time taken = nan seconds, loss = 0.03882, fid = None
2025-06-28 13:29:27.405 | INFO     | __main__:<module>:126 - Epoch = 25 / 60
2025-06-28 13:33:21.286 | INFO     | __main__:<module>:169 - Training time taken = 233.88 seconds, Evaluation time taken = nan seconds, loss = 0.03827, fid = None
2025-06-28 13:33:21.286 | INFO     | __main__:<module>:126 - Epoch = 26 / 60
2025-06-28 13:37:15.300 | INFO     | __main__:<module>:169 - Training time taken = 234.01 seconds, Evaluation time taken = nan seconds, loss = 0.03811, fid = None
2025-06-28 13:37:15.300 | INFO     | __main__:<module>:126 - Epoch = 27 / 60
2025-06-28 13:41:08.643 | INFO     | __main__:<module>:169 - Training time taken = 233.34 seconds, Evaluation time taken = nan seconds, loss = 0.03811, fid = None
2025-06-28 13:41:08.643 | INFO     | __main__:<module>:126 - Epoch = 28 / 60
2025-06-28 13:45:03.361 | INFO     | __main__:<module>:169 - Training time taken = 234.72 seconds, Evaluation time taken = nan seconds, loss = 0.0384, fid = None
2025-06-28 13:45:03.362 | INFO     | __main__:<module>:126 - Epoch = 29 / 60
2025-06-28 13:48:59.261 | INFO     | __main__:<module>:169 - Training time taken = 235.9 seconds, Evaluation time taken = nan seconds, loss = 0.03759, fid = None
2025-06-28 13:48:59.261 | INFO     | __main__:<module>:126 - Epoch = 30 / 60
2025-06-28 13:52:54.768 | INFO     | __main__:<module>:169 - Training time taken = 235.51 seconds, Evaluation time taken = nan seconds, loss = 0.03701, fid = None
2025-06-28 13:52:54.768 | INFO     | __main__:<module>:126 - Epoch = 31 / 60
2025-06-28 13:56:50.880 | INFO     | __main__:<module>:169 - Training time taken = 236.11 seconds, Evaluation time taken = nan seconds, loss = 0.03751, fid = None
2025-06-28 13:56:50.880 | INFO     | __main__:<module>:126 - Epoch = 32 / 60
2025-06-28 14:00:46.152 | INFO     | __main__:<module>:169 - Training time taken = 235.27 seconds, Evaluation time taken = nan seconds, loss = 0.03637, fid = None
2025-06-28 14:00:46.152 | INFO     | __main__:<module>:126 - Epoch = 33 / 60
2025-06-28 14:04:41.424 | INFO     | __main__:<module>:169 - Training time taken = 235.27 seconds, Evaluation time taken = nan seconds, loss = 0.03726, fid = None
2025-06-28 14:04:41.425 | INFO     | __main__:<module>:126 - Epoch = 34 / 60
2025-06-28 14:08:36.792 | INFO     | __main__:<module>:169 - Training time taken = 235.37 seconds, Evaluation time taken = nan seconds, loss = 0.03706, fid = None
2025-06-28 14:08:36.793 | INFO     | __main__:<module>:126 - Epoch = 35 / 60
2025-06-28 14:12:32.430 | INFO     | __main__:<module>:169 - Training time taken = 235.64 seconds, Evaluation time taken = nan seconds, loss = 0.03689, fid = None
2025-06-28 14:12:32.430 | INFO     | __main__:<module>:126 - Epoch = 36 / 60
2025-06-28 14:16:28.041 | INFO     | __main__:<module>:169 - Training time taken = 235.61 seconds, Evaluation time taken = nan seconds, loss = 0.03646, fid = None
2025-06-28 14:16:28.042 | INFO     | __main__:<module>:126 - Epoch = 37 / 60
2025-06-28 14:20:23.125 | INFO     | __main__:<module>:169 - Training time taken = 235.08 seconds, Evaluation time taken = nan seconds, loss = 0.03594, fid = None
2025-06-28 14:20:23.126 | INFO     | __main__:<module>:126 - Epoch = 38 / 60
2025-06-28 14:24:18.445 | INFO     | __main__:<module>:169 - Training time taken = 235.32 seconds, Evaluation time taken = nan seconds, loss = 0.03558, fid = None
2025-06-28 14:24:18.446 | INFO     | __main__:<module>:126 - Epoch = 39 / 60
2025-06-28 14:28:13.835 | INFO     | __main__:<module>:169 - Training time taken = 235.39 seconds, Evaluation time taken = nan seconds, loss = 0.03585, fid = None
2025-06-28 14:28:13.836 | INFO     | __main__:<module>:126 - Epoch = 40 / 60
2025-06-28 14:32:09.561 | INFO     | __main__:<module>:142 - Running evaluation
2025-06-28 14:32:09.562 | INFO     | eval_utils:eval:161 - Generating samples and computing activations
2025-06-29 04:23:58.446 | INFO     | eval_utils:eval:163 - Computing statistics on generated sample activations
2025-06-29 04:23:59.711 | INFO     | eval_utils:eval:166 - real activation mean = (2048,), cov = (2048, 2048)
2025-06-29 04:23:59.712 | INFO     | eval_utils:eval:167 - fake activation mean = (2048,), cov = (2048, 2048)
2025-06-29 04:25:35.474 | INFO     | __main__:<module>:153 - Generating 100 samples
2025-06-29 04:27:25.189 | INFO     | __main__:<module>:164 - Generation completed in 109.71 seconds
2025-06-29 04:27:25.189 | INFO     | __main__:<module>:169 - Training time taken = 235.73 seconds, Evaluation time taken = 50005.91 seconds, loss = 0.03605, fid = 9.26404402500998
