2025-07-01 18:19:34.878 | INFO     | __main__:<module>:133 - Epoch = 25 / 120
2025-07-01 18:23:31.690 | INFO     | __main__:<module>:176 - Training time taken = 236.81 seconds, Evaluation time taken = nan seconds, loss = 0.03821, fid = None
2025-07-01 18:23:31.691 | INFO     | __main__:<module>:133 - Epoch = 26 / 120
2025-07-01 18:27:28.929 | INFO     | __main__:<module>:176 - Training time taken = 237.24 seconds, Evaluation time taken = nan seconds, loss = 0.03826, fid = None
2025-07-01 18:27:28.929 | INFO     | __main__:<module>:133 - Epoch = 27 / 120
2025-07-01 18:31:25.200 | INFO     | __main__:<module>:176 - Training time taken = 236.27 seconds, Evaluation time taken = nan seconds, loss = 0.03801, fid = None
2025-07-01 18:31:25.200 | INFO     | __main__:<module>:133 - Epoch = 28 / 120
2025-07-01 18:35:21.737 | INFO     | __main__:<module>:176 - Training time taken = 236.54 seconds, Evaluation time taken = nan seconds, loss = 0.03812, fid = None
2025-07-01 18:35:21.737 | INFO     | __main__:<module>:133 - Epoch = 29 / 120
2025-07-01 18:39:18.662 | INFO     | __main__:<module>:176 - Training time taken = 236.93 seconds, Evaluation time taken = nan seconds, loss = 0.03744, fid = None
2025-07-01 18:39:18.663 | INFO     | __main__:<module>:133 - Epoch = 30 / 120
2025-07-01 18:43:15.525 | INFO     | __main__:<module>:176 - Training time taken = 236.86 seconds, Evaluation time taken = nan seconds, loss = 0.03707, fid = None
2025-07-01 18:43:15.526 | INFO     | __main__:<module>:133 - Epoch = 31 / 120
2025-07-01 18:47:12.594 | INFO     | __main__:<module>:176 - Training time taken = 237.07 seconds, Evaluation time taken = nan seconds, loss = 0.03752, fid = None
2025-07-01 18:47:12.595 | INFO     | __main__:<module>:133 - Epoch = 32 / 120
2025-07-01 18:51:09.202 | INFO     | __main__:<module>:176 - Training time taken = 236.61 seconds, Evaluation time taken = nan seconds, loss = 0.03651, fid = None
2025-07-01 18:51:09.203 | INFO     | __main__:<module>:133 - Epoch = 33 / 120
2025-07-01 18:55:05.589 | INFO     | __main__:<module>:176 - Training time taken = 236.39 seconds, Evaluation time taken = nan seconds, loss = 0.03727, fid = None
2025-07-01 18:55:05.590 | INFO     | __main__:<module>:133 - Epoch = 34 / 120
2025-07-01 18:59:02.144 | INFO     | __main__:<module>:176 - Training time taken = 236.55 seconds, Evaluation time taken = nan seconds, loss = 0.03724, fid = None
2025-07-01 18:59:02.145 | INFO     | __main__:<module>:133 - Epoch = 35 / 120
2025-07-01 19:03:00.239 | INFO     | __main__:<module>:176 - Training time taken = 238.09 seconds, Evaluation time taken = nan seconds, loss = 0.03696, fid = None
2025-07-01 19:03:00.239 | INFO     | __main__:<module>:133 - Epoch = 36 / 120
2025-07-01 19:07:02.786 | INFO     | __main__:<module>:176 - Training time taken = 242.55 seconds, Evaluation time taken = nan seconds, loss = 0.03637, fid = None
2025-07-01 19:07:02.786 | INFO     | __main__:<module>:133 - Epoch = 37 / 120
2025-07-01 19:11:11.801 | INFO     | __main__:<module>:176 - Training time taken = 249.01 seconds, Evaluation time taken = nan seconds, loss = 0.03586, fid = None
