2026-02-19 00:31:40.391 | INFO     | __main__:<module>:209 - Training time taken = 197.33 seconds, Evaluation time taken = nan seconds, loss = 0.03825, fid = None
2026-02-19 00:31:40.391 | INFO     | __main__:<module>:152 - Epoch = 24 / 240
2026-02-19 00:34:57.309 | INFO     | __main__:<module>:209 - Training time taken = 196.92 seconds, Evaluation time taken = nan seconds, loss = 0.03868, fid = None
2026-02-19 00:34:57.310 | INFO     | __main__:<module>:152 - Epoch = 25 / 240
2026-02-19 00:38:14.286 | INFO     | __main__:<module>:209 - Training time taken = 196.98 seconds, Evaluation time taken = nan seconds, loss = 0.03796, fid = None
2026-02-19 00:38:14.286 | INFO     | __main__:<module>:152 - Epoch = 26 / 240
2026-02-19 00:41:31.247 | INFO     | __main__:<module>:209 - Training time taken = 196.96 seconds, Evaluation time taken = nan seconds, loss = 0.03793, fid = None
2026-02-19 00:41:31.248 | INFO     | __main__:<module>:152 - Epoch = 27 / 240
2026-02-19 00:44:48.176 | INFO     | __main__:<module>:209 - Training time taken = 196.93 seconds, Evaluation time taken = nan seconds, loss = 0.03768, fid = None
2026-02-19 00:44:48.176 | INFO     | __main__:<module>:152 - Epoch = 28 / 240
2026-02-19 00:48:06.546 | INFO     | __main__:<module>:209 - Training time taken = 198.37 seconds, Evaluation time taken = nan seconds, loss = 0.0378, fid = None
2026-02-19 00:48:06.546 | INFO     | __main__:<module>:152 - Epoch = 29 / 240
2026-02-19 00:51:24.641 | INFO     | __main__:<module>:209 - Training time taken = 198.09 seconds, Evaluation time taken = nan seconds, loss = 0.03712, fid = None
2026-02-19 00:51:24.641 | INFO     | __main__:<module>:152 - Epoch = 30 / 240
2026-02-19 00:54:42.324 | INFO     | __main__:<module>:209 - Training time taken = 197.68 seconds, Evaluation time taken = nan seconds, loss = 0.03677, fid = None
2026-02-19 00:54:42.325 | INFO     | __main__:<module>:152 - Epoch = 31 / 240
2026-02-19 00:58:00.773 | INFO     | __main__:<module>:209 - Training time taken = 198.45 seconds, Evaluation time taken = nan seconds, loss = 0.03718, fid = None
2026-02-19 00:58:00.773 | INFO     | __main__:<module>:152 - Epoch = 32 / 240
2026-02-19 01:01:20.539 | INFO     | __main__:<module>:209 - Training time taken = 199.76 seconds, Evaluation time taken = nan seconds, loss = 0.03619, fid = None
2026-02-19 01:01:20.539 | INFO     | __main__:<module>:152 - Epoch = 33 / 240
2026-02-19 01:04:38.568 | INFO     | __main__:<module>:209 - Training time taken = 198.03 seconds, Evaluation time taken = nan seconds, loss = 0.03696, fid = None
2026-02-19 01:04:38.569 | INFO     | __main__:<module>:152 - Epoch = 34 / 240
2026-02-19 01:07:56.788 | INFO     | __main__:<module>:209 - Training time taken = 198.22 seconds, Evaluation time taken = nan seconds, loss = 0.03691, fid = None
2026-02-19 01:07:56.789 | INFO     | __main__:<module>:152 - Epoch = 35 / 240
2026-02-19 01:11:16.126 | INFO     | __main__:<module>:209 - Training time taken = 199.34 seconds, Evaluation time taken = nan seconds, loss = 0.03668, fid = None
2026-02-19 01:11:16.126 | INFO     | __main__:<module>:152 - Epoch = 36 / 240
2026-02-19 01:14:35.365 | INFO     | __main__:<module>:209 - Training time taken = 199.24 seconds, Evaluation time taken = nan seconds, loss = 0.03611, fid = None
2026-02-19 01:14:35.366 | INFO     | __main__:<module>:152 - Epoch = 37 / 240
2026-02-19 01:17:52.571 | INFO     | __main__:<module>:209 - Training time taken = 197.21 seconds, Evaluation time taken = nan seconds, loss = 0.03558, fid = None
2026-02-19 01:17:52.571 | INFO     | __main__:<module>:152 - Epoch = 38 / 240
2026-02-19 01:21:09.554 | INFO     | __main__:<module>:209 - Training time taken = 196.98 seconds, Evaluation time taken = nan seconds, loss = 0.03529, fid = None
2026-02-19 01:21:09.555 | INFO     | __main__:<module>:152 - Epoch = 39 / 240
2026-02-19 01:24:27.048 | INFO     | __main__:<module>:209 - Training time taken = 197.49 seconds, Evaluation time taken = nan seconds, loss = 0.03547, fid = None
2026-02-19 01:24:27.049 | INFO     | __main__:<module>:152 - Epoch = 40 / 240
2026-02-19 01:27:44.996 | INFO     | __main__:<module>:209 - Training time taken = 197.95 seconds, Evaluation time taken = nan seconds, loss = 0.03563, fid = None
2026-02-19 01:27:44.997 | INFO     | __main__:<module>:152 - Epoch = 41 / 240
2026-02-19 01:31:03.032 | INFO     | __main__:<module>:209 - Training time taken = 198.03 seconds, Evaluation time taken = nan seconds, loss = 0.03555, fid = None
2026-02-19 01:31:03.032 | INFO     | __main__:<module>:152 - Epoch = 42 / 240
2026-02-19 01:34:22.084 | INFO     | __main__:<module>:209 - Training time taken = 199.05 seconds, Evaluation time taken = nan seconds, loss = 0.03533, fid = None
2026-02-19 01:34:22.084 | INFO     | __main__:<module>:152 - Epoch = 43 / 240
2026-02-19 01:37:42.010 | INFO     | __main__:<module>:209 - Training time taken = 199.93 seconds, Evaluation time taken = nan seconds, loss = 0.03548, fid = None
2026-02-19 01:37:42.011 | INFO     | __main__:<module>:152 - Epoch = 44 / 240
2026-02-19 01:41:00.157 | INFO     | __main__:<module>:209 - Training time taken = 198.15 seconds, Evaluation time taken = nan seconds, loss = 0.03517, fid = None
2026-02-19 01:41:00.158 | INFO     | __main__:<module>:152 - Epoch = 45 / 240
2026-02-19 01:44:17.861 | INFO     | __main__:<module>:209 - Training time taken = 197.7 seconds, Evaluation time taken = nan seconds, loss = 0.03528, fid = None
2026-02-19 01:44:17.861 | INFO     | __main__:<module>:152 - Epoch = 46 / 240
2026-02-19 01:47:35.846 | INFO     | __main__:<module>:209 - Training time taken = 197.98 seconds, Evaluation time taken = nan seconds, loss = 0.0352, fid = None
2026-02-19 01:47:35.846 | INFO     | __main__:<module>:152 - Epoch = 47 / 240
2026-02-19 01:50:52.879 | INFO     | __main__:<module>:209 - Training time taken = 197.03 seconds, Evaluation time taken = nan seconds, loss = 0.03496, fid = None
2026-02-19 01:50:52.879 | INFO     | __main__:<module>:152 - Epoch = 48 / 240
2026-02-19 01:54:09.900 | INFO     | __main__:<module>:209 - Training time taken = 197.02 seconds, Evaluation time taken = nan seconds, loss = 0.03488, fid = None
2026-02-19 01:54:09.900 | INFO     | __main__:<module>:152 - Epoch = 49 / 240
2026-02-19 01:57:27.145 | INFO     | __main__:<module>:209 - Training time taken = 197.24 seconds, Evaluation time taken = nan seconds, loss = 0.03456, fid = None
2026-02-19 01:57:27.146 | INFO     | __main__:<module>:152 - Epoch = 50 / 240
2026-02-19 02:00:44.633 | INFO     | __main__:<module>:209 - Training time taken = 197.49 seconds, Evaluation time taken = nan seconds, loss = 0.03468, fid = None
2026-02-19 02:00:44.633 | INFO     | __main__:<module>:152 - Epoch = 51 / 240
2026-02-19 02:04:02.464 | INFO     | __main__:<module>:209 - Training time taken = 197.83 seconds, Evaluation time taken = nan seconds, loss = 0.03452, fid = None
2026-02-19 02:04:02.464 | INFO     | __main__:<module>:152 - Epoch = 52 / 240
2026-02-19 02:07:20.018 | INFO     | __main__:<module>:209 - Training time taken = 197.55 seconds, Evaluation time taken = nan seconds, loss = 0.03421, fid = None
2026-02-19 02:07:20.018 | INFO     | __main__:<module>:152 - Epoch = 53 / 240
2026-02-19 02:10:37.594 | INFO     | __main__:<module>:209 - Training time taken = 197.58 seconds, Evaluation time taken = nan seconds, loss = 0.03448, fid = None
2026-02-19 02:10:37.594 | INFO     | __main__:<module>:152 - Epoch = 54 / 240
2026-02-19 02:13:54.970 | INFO     | __main__:<module>:209 - Training time taken = 197.38 seconds, Evaluation time taken = nan seconds, loss = 0.0347, fid = None
2026-02-19 02:13:54.971 | INFO     | __main__:<module>:152 - Epoch = 55 / 240
2026-02-19 02:17:11.945 | INFO     | __main__:<module>:209 - Training time taken = 196.97 seconds, Evaluation time taken = nan seconds, loss = 0.0345, fid = None
2026-02-19 02:17:11.945 | INFO     | __main__:<module>:152 - Epoch = 56 / 240
